0.4;0.4.0;35100 / 35100;0
0.4.0.4.1.0.3;0.4.0.4.1.0.3.0;100 / 100;0
0.4.0.4.1.0.3;0.4.0.4.1.0.3.1;100 / 100;0
0.4.0.4.1.0.4;0.4.0.4.1.0.4.0;100 / 100;0
0.4.0.4.1.0.4;0.4.0.4.1.0.4.1;100 / 100;0
0.4.0.4.1.0.5;0.4.0.4.1.0.5.0;100 / 100;0
0.4.0.4.1.0.5;0.4.0.4.1.0.5.1;100 / 100;0
0.4.0.4.2.0.0;0.4.0.4.2.0.0.0;100 / 100;0
0.4.0.4.2.0.0;0.4.0.4.2.0.0.1;100 / 100;0
0.4.0.4.2.0.2;0.4.0.4.2.0.2.0;100 / 100;0
0.4.0.4.2.0.3;0.4.0.4.2.0.3.0;100 / 100;0
0.4.0.4.2.0.3;0.4.0.4.2.0.3.1;100 / 100;0
0.4.0.4.2.0.4;0.4.0.4.2.0.4.0;100 / 100;0
0.4.0.4.2.0.5;0.4.0.4.2.0.5.0;100 / 100;0
0.4.0.4.2.0.5;0.4.0.4.2.0.5.1;100 / 100;0
0.4.0.4.2.0.5;0.4.0.4.2.0.5.2;100 / 100;0
0.4.0.4.2.0.6;0.4.0.4.2.0.6.0;100 / 100;0
0.4.0.4.2.0.6;0.4.0.4.2.0.6.1;100 / 100;0
0.4.0.4.3.0.1;0.4.0.4.3.0.1.0;100 / 100;0
0.4.0.4.3.0.1;0.4.0.4.3.0.1.1;100 / 100;0
0.4.0.4.3.0.1;0.4.0.4.3.0.1.2;100 / 100;0
0.4.0.4.3.0.3;0.4.0.4.3.0.3.0;100 / 100;0
0.4.0.4.3.0.3;0.4.0.4.3.0.3.1;100 / 100;0
0.4.0.4.3.0.4;0.4.0.4.3.0.4.0;100 / 100;0
0.4.0.4.3.0.4;0.4.0.4.3.0.4.1;100 / 100;0
0.4.0.4.3.0.4;0.4.0.4.3.0.4.2;100 / 100;0
0.4.0.4.3.0.5;0.4.0.4.3.0.5.0;100 / 100;0
0.4.0.4.3.0.6;0.4.0.4.3.0.6.0;100 / 100;0
0.4.0.5.0.0.0;0.4.0.5.0.0.0.0;100 / 100;0
0.4.0.5.0.0.1;0.4.0.5.0.0.1.0;100 / 100;0
0.4.0.5.0.0.1;0.4.0.5.0.0.1.1;100 / 100;0
0.4.0.5.0.0.2;0.4.0.5.0.0.2.0;100 / 100;0
0.4.0.5.0.0.2;0.4.0.5.0.0.2.1;100 / 100;0
0.4.0.5.0.0.5;0.4.0.5.0.0.5.0;100 / 100;0
0.4.0.5.0.0.5;0.4.0.5.0.0.5.1;100 / 100;0
0.4.0.5.0.0.5;0.4.0.5.0.0.5.2;100 / 100;0
0.4.0.5.0.0.5;0.4.0.5.0.0.5.3;100 / 100;0
0.4.0.5.0.0.6;0.4.0.5.0.0.6.0;100 / 100;0
0.4.0.5.0.0.6;0.4.0.5.0.0.6.1;100 / 100;0
0.4.0.5.1.0.1;0.4.0.5.1.0.1.0;100 / 100;0
0.4.0.5.1.0.1;0.4.0.5.1.0.1.1;100 / 100;0
0.4.0.5.1.0.1;0.4.0.5.1.0.1.2;100 / 100;0
0.4.0.5.1.0.3;0.4.0.5.1.0.3.0;100 / 100;0
0.4.0.5.1.0.3;0.4.0.5.1.0.3.1;100 / 100;0
0.4.0.5.1.0.4;0.4.0.5.1.0.4.0;100 / 100;0
0.4.0.5.1.0.4;0.4.0.5.1.0.4.1;100 / 100;0
0.4.0.5.1.0.4;0.4.0.5.1.0.4.2;100 / 100;0
0.4.0.5.1.0.6;0.4.0.5.1.0.6.0;100 / 100;0
0.4.0.5.1.0.6;0.4.0.5.1.0.6.1;100 / 100;0
0.4.0.5.2.0.1;0.4.0.5.2.0.1.0;100 / 100;0
0.4.0.5.2.0.1;0.4.0.5.2.0.1.1;100 / 100;0
0.4.0.5.2.0.1;0.4.0.5.2.0.1.2;100 / 100;0
0.4.0.5.2.0.2;0.4.0.5.2.0.2.0;100 / 100;0
0.4.0.5.2.0.2;0.4.0.5.2.0.2.1;100 / 100;0
0.4.0.5.2.0.2;0.4.0.5.2.0.2.2;100 / 100;0
0.4.0.5.2.0.3;0.4.0.5.2.0.3.0;100 / 100;0
0.4.0.5.2.0.4;0.4.0.5.2.0.4.0;100 / 100;0
0.4.0.5.2.0.4;0.4.0.5.2.0.4.1;100 / 100;0
0.4.0.5.2.0.5;0.4.0.5.2.0.5.0;100 / 100;0
0.4.0.5.3.0.0;0.4.0.5.3.0.0.0;100 / 100;0
0.4.0.5.3.0.0;0.4.0.5.3.0.0.1;100 / 100;0
0.4.0.5.3.0.0;0.4.0.5.3.0.0.2;100 / 100;0
0.4.0.5.3.0.0;0.4.0.5.3.0.0.3;100 / 100;0
0.4.0.5.3.0.0;0.4.0.5.3.0.0.4;100 / 100;0
0.4.0.5.3.0.1;0.4.0.5.3.0.1.0;100 / 100;0
0.4.0.5.3.0.3;0.4.0.5.3.0.3.0;100 / 100;0
0.4.0.5.3.0.4;0.4.0.5.3.0.4.0;100 / 100;0
0.4.0.5.3.0.5;0.4.0.5.3.0.5.0;100 / 100;0
0.4.0.5.3.0.6;0.4.0.5.3.0.6.0;100 / 100;0
0.4.0.6.0.0.0;0.4.0.6.0.0.0.0;100 / 100;0
0.4.0.6.0.0.1;0.4.0.6.0.0.1.0;100 / 100;0
0.4.0.6.0.0.2;0.4.0.6.0.0.2.0;100 / 100;0
0.4.0.6.0.0.2;0.4.0.6.0.0.2.1;100 / 100;0
0.4.0.6.0.0.2;0.4.0.6.0.0.2.2;100 / 100;0
0.4.0.6.0.0.3;0.4.0.6.0.0.3.0;100 / 100;0
0.4.0.6.0.0.4;0.4.0.6.0.0.4.0;100 / 100;0
0.4.0.6.0.0.4;0.4.0.6.0.0.4.1;100 / 100;0
0.4.0.6.0.0.5;0.4.0.6.0.0.5.0;100 / 100;0
0.4.0.6.0.0.6;0.4.0.6.0.0.6.0;100 / 100;0
0.4.0.6.0.0.6;0.4.0.6.0.0.6.1;100 / 100;0
0.4.0.6.1.0.0;0.4.0.6.1.0.0.0;100 / 100;0
0.4.0.6.1.0.0;0.4.0.6.1.0.0.1;100 / 100;0
0.4.0.6.1.0.0;0.4.0.6.1.0.0.2;100 / 100;0
0.4.0.6.1.0.1;0.4.0.6.1.0.1.0;100 / 100;0
0.4.0.6.1.0.1;0.4.0.6.1.0.1.1;100 / 100;0
0.4.0.6.1.0.2;0.4.0.6.1.0.2.0;100 / 100;0
0.4.0.6.1.0.4;0.4.0.6.1.0.4.0;100 / 100;0
0.4.0.6.1.0.4;0.4.0.6.1.0.4.1;100 / 100;0
0.4.0.6.1.0.5;0.4.0.6.1.0.5.0;100 / 100;0
0.4.0.6.1.0.5;0.4.0.6.1.0.5.1;100 / 100;0
0.4.0.6.1.0.6;0.4.0.6.1.0.6.0;100 / 100;0
0.4.0.6.2.0.0;0.4.0.6.2.0.0.0;100 / 100;0
0.4.0.6.2.0.1;0.4.0.6.2.0.1.0;100 / 100;0
0.4.0.6.2.0.1;0.4.0.6.2.0.1.1;100 / 100;0
0.4.0.6.2.0.2;0.4.0.6.2.0.2.0;100 / 100;0
0.4.0.6.2.0.2;0.4.0.6.2.0.2.1;100 / 100;0
0.4.0.6.2.0.3;0.4.0.6.2.0.3.0;100 / 100;0
0.4.0.6.2.0.4;0.4.0.6.2.0.4.0;100 / 100;0
0.4.0.6.2.0.4;0.4.0.6.2.0.4.1;100 / 100;0
0.4.0.6.2.0.4;0.4.0.6.2.0.4.2;100 / 100;0
0.4.0.6.2.0.5;0.4.0.6.2.0.5.0;100 / 100;0
0.4.0.6.2.0.6;0.4.0.6.2.0.6.0;100 / 100;0
0.4.0.6.3.0.0;0.4.0.6.3.0.0.0;100 / 100;0
0.4.0.6.3.0.0;0.4.0.6.3.0.0.1;100 / 100;0
0.4.0.6.3.0.1;0.4.0.6.3.0.1.0;100 / 100;0
0.4.0.6.3.0.3;0.4.0.6.3.0.3.0;100 / 100;0
0.4.0.6.3.0.4;0.4.0.6.3.0.4.0;100 / 100;0
0.4.0.6.3.0.4;0.4.0.6.3.0.4.1;100 / 100;0
0.4.0.6.3.0.5;0.4.0.6.3.0.5.0;100 / 100;0
0.4.0.6.3.0.6;0.4.0.6.3.0.6.0;100 / 100;0
0.4.0.6.3.0.6;0.4.0.6.3.0.6.1;100 / 100;0
0.4.0.6.3.0.6;0.4.0.6.3.0.6.2;100 / 100;0
